Column,Type,Null,Default,Comments
subject,varchar(255),Yes,NULL,subject id number
trial_number,varchar(255),Yes,NULL,Trial Number
trial_index,varchar(255),Yes,NULL,trial number
trial_event,varchar(255),Yes,NULL,"event: select_rdk - task selection, rdk - random dot task"
button_pressed,varchar(255),Yes,NULL,which rdk selected
rt,varchar(255),Yes,NULL,response time
dot_direction,varchar(255),Yes,NULL,direction of rdk
dot_coherence,varchar(255),Yes,NULL,difficulty
key_press,varchar(255),Yes,NULL,response
trial_duration,varchar(255),Yes,NULL,time remaining for choice
correct,varchar(255),Yes,NULL,"1 = correct, 0 = wrong"
time_elapsed,varchar(255),Yes,NULL,total time elapsed
patch_0,varchar(255),Yes,NULL,Coherence of patch 1 (west)
patch_1,varchar(255),Yes,NULL,Coherence of patch 2 (north)
patch_2,varchar(255),Yes,NULL,Coherence of patch 3 (east)
patch_3,varchar(255),Yes,NULL,Coherence of patch 4 (south)
